Carimbo de data/hora,Quantas pessoas moram na sua casa? (Contando com você),Qual estado você mora?
23/08/2025 13:48:14,3,Rio de Janeiro 
23/08/2025 13:50:19,2,Rio de Janeiro 
23/08/2025 13:55:08,1,Rio de janeiro 
23/08/2025 14:03:45,3,Rio de janeiro 
23/08/2025 14:08:28,3,RJ
23/08/2025 14:14:41,21,Rio de janeiro 
23/08/2025 14:15:39,2,Rio de Janeiro 
23/08/2025 14:32:54,6,Rio de Janeiro 
23/08/2025 14:34:47,2,Rio de Janeiro 
23/08/2025 15:00:34,5,Rio de janeiro
23/08/2025 15:13:43,4,Rio de Janeiro 
23/08/2025 15:39:23,3,Rio de Janeiro 
23/08/2025 16:26:15,3,Rio de Janeiro 
23/08/2025 16:55:44,3,RJ
25/08/2025 14:43:19,2,Rio de Janeiro 
25/08/2025 21:12:36,4,Rio de Janeiro 
25/08/2025 21:17:59,3,Río de janeiro 
25/08/2025 21:48:39,4,Rio de janeiro 
25/08/2025 21:59:22,2,Rio de janeiro 
25/08/2025 22:18:02,1,Rio de janeiro 
25/08/2025 22:29:12,3,Rio de janeiro
25/08/2025 22:42:08,3,rio de janeiro 
25/08/2025 23:12:31,3,Rio de Janeiro 
26/08/2025 00:26:39,4,Rio de janeiro 
